timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168388.329,-5.371,21.484,3.906,20.020,-20.996
1711168388.333,27.832,22.461,-0.977,15.137,-3.418
1711168388.337,13.672,22.461,1.953,9.277,14.160
1711168388.341,-24.414,30.762,5.371,4.883,27.832
1711168388.345,-19.043,29.785,5.859,8.789,31.250
1711168388.349,27.344,27.832,0.977,10.254,-51.758
1711168388.353,47.852,30.273,2.441,5.859,-15.625
1711168388.357,12.695,32.715,7.324,11.719,67.871
1711168388.361,-3.418,30.762,10.254,15.625,57.129
1711168388.365,36.133,25.879,14.160,7.812,45.898
1711168388.368,62.988,33.203,11.719,2.441,27.832
1711168388.372,19.531,38.574,9.277,6.836,82.520
1711168388.376,0.000,33.691,8.789,16.113,46.875
1711168388.380,0.000,32.715,8.301,15.137,18.555
1711168388.384,0.000,35.645,13.184,21.973,41.504
1711168388.388,0.000,39.062,16.602,37.598,30.762
1711168388.392,0.000,34.668,13.184,34.668,33.691
1711168388.396,0.000,28.320,11.719,29.297,-34.180
1711168388.400,0.000,33.691,16.602,29.785,-55.176
1711168388.404,0.000,40.039,18.066,19.531,14.160
1711168388.408,0.000,39.551,17.578,9.766,47.852
1711168388.411,0.000,38.574,19.043,17.578,24.902
1711168388.415,0.000,39.551,20.508,28.809,5.859
1711168388.419,0.000,39.062,20.996,27.344,-28.809
1711168388.423,-11.719,40.527,21.973,31.738,-0.977
1711168388.427,19.043,40.039,22.461,39.551,28.809
1711168388.431,53.223,38.086,21.973,28.320,21.973
1711168388.435,44.922,37.109,23.926,15.625,104.004
1711168388.439,4.883,36.133,25.391,25.879,77.637
1711168388.443,11.230,41.504,26.367,39.062,-4.395
1711168388.447,59.082,42.969,27.344,37.109,44.434
1711168388.450,52.734,36.621,27.832,31.250,45.410
1711168388.454,-2.441,33.691,27.832,22.461,-22.461
1711168388.458,-6.348,35.645,28.320,28.320,19.043
1711168388.462,45.410,37.109,26.855,35.156,56.152
1711168388.466,64.453,34.668,24.414,23.438,20.508
1711168388.470,62.988,37.109,21.973,11.230,39.551
1711168388.474,13.672,37.598,27.344,20.996,96.680
1711168388.478,-1.953,26.855,28.809,26.855,86.914
1711168388.482,42.969,25.879,22.949,16.602,33.691
1711168388.486,63.965,32.227,22.461,15.625,68.359
1711168388.490,26.855,29.785,20.508,25.391,85.938
1711168388.493,5.859,27.832,16.602,33.691,42.480
1711168388.497,40.039,19.531,10.742,41.504,3.418
1711168388.501,75.684,17.090,11.719,36.133,-17.578
1711168388.505,44.434,24.414,16.602,25.879,9.277
1711168388.509,-8.301,30.273,20.508,30.762,46.387
1711168388.513,18.555,36.133,21.973,32.715,28.320
1711168388.517,78.125,36.133,19.043,32.715,42.969
1711168388.521,62.012,33.691,17.578,33.203,60.059
1711168388.525,4.395,31.250,20.020,26.855,19.043
1711168388.529,9.277,31.250,19.531,24.902,39.062
1711168388.532,59.082,28.320,17.578,25.879,42.969
